Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-05-2020,778361.0,1048540.0,773250.0,982875.0,667500.0,774523.4166666666,1330541.625,731125.0,535083.3333333334,1029810.8,724781.75,758125.0,734050.0,677062.5,353333.3333333333,720666.6666666666,823900.0,1153750.0,2492162.6666666665,319166.6666666667,596333.3333333334,578222.0,299250.0,698500.0,1478950.0,643259.625,528240.6666666666,461633.3333333333,600125.0,464999.9,599590.0,608333.3333333334,520110.55555555556,578000.0,685000.0,1048114.3333333334,1138064.2857142857,1470937.5,478200.2,669437.5,913833.3333333334,528000.0
01-06-2020,848750.0,1069500.0,768750.0,927500.0,650250.0,724700.0,1138578.8333333333,703625.0,590416.6666666666,1059305.4,717000.0,507250.0,682500.0,664312.5,282300.0,729166.6666666666,750676.4705882353,1170000.0,2275000.0,282500.0,663333.3333333334,592077.7777777778,331500.0,676428.5714285715,1509600.0,562894.25,501456.25,443000.0,597125.0,490999.75,632700.0,515582.9166666667,528833.0555555555,570500.0,930000.0,1033333.3333333334,1086547.4285714286,1510157.75,482006.3,637431.25,935000.0,575000.0
01-07-2020,852986.0,949679.3,743750.0,846625.0,562683.3333333334,754783.3333333334,1233333.3333333333,697375.0,483333.3333333333,1096625.2,633500.0,956000.0,687500.0,586125.0,308833.3333333333,732666.6666666666,704827.9411764706,1290750.0,2035933.3333333333,338333.3333333333,647566.6666666666,547861.1111111111,303750.0,740419.0,1496111.111111111,509249.875,496083.3333333333,444816.6666666667,571750.0,519624.875,627150.0,564514.5833333334,541643.7777777778,546333.3333333334,1107500.0,925000.0,1193750.0,1476875.0,469505.9,664993.75,973000.0,565000.0
01-08-2020,720750.0,932206.2,756363.75,789498.875,555833.3333333334,914233.3,1700910.4166666667,646625.0,612500.0,1225100.0,672250.0,626000.0,642500.0,633062.5,233999.83333333334,717166.6666666666,748897.0588235294,1121000.0,1842300.0,344166.6666666667,606283.3333333334,554388.8888888889,307000.0,752714.2857142857,1617944.4444444445,478750.0,496583.3333333333,428133.3333333333,588750.0,583000.0,634300.0,508041.6666666667,582666.6666666666,564666.6666666666,1070000.0,911666.6666666666,1139821.4285714286,1631711.125,531400.0,655500.0,892500.0,563750.0
01-09-2020,603425.0,918500.0,742750.0,872802.125,564166.6666666666,976466.6,1519227.2727272727,650625.0,598500.0,1212000.0,646198.5,695000.0,668500.0,630787.5,401333.3333333333,725500.0,688058.8235294118,1049250.0,2349392.8333333335,248166.66666666666,634000.0,566833.3333333334,325000.0,738930.5714285715,1811204.5555555555,464999.75,541500.0,455000.0,596750.0,605437.5,609400.0,567541.6666666666,547266.4444444445,553833.3333333334,1079000.0,980833.3333333334,1258333.3333333333,1480062.5,512981.2,723156.25,945000.0,557000.0
01-10-2020,686250.0,980500.0,747000.0,907000.0,544250.0,1009577.5,1834217.0909090908,695500.0,630166.6666666666,1192762.8,678000.0,690000.0,702500.0,669250.0,475000.0,686333.3333333334,719882.3529411765,1048750.0,2121666.5,366666.6666666667,591500.0,609666.6666666666,351750.0,791227.0,1909100.0,553750.0,535833.3333333334,463000.0,625625.0,572249.875,618900.0,580583.3333333334,589583.3333333334,589333.3333333334,1052500.0,977500.0,1125666.5,1448750.0,512625.0,759437.5,905166.6666666666,559000.0
01-11-2020,664162.5,966174.9,875500.0,927875.0,661666.6666666666,926452.5,1710625.0,728912.5,558666.6666666666,1190400.0,785629.75,546000.0,746750.0,681825.0,439166.6666666667,708000.0,753044.1176470588,1127500.0,2218333.0,355000.0,670875.0,606676.0,358500.0,943924.0,1920080.0,573750.0,541179.0,485833.3333333333,600625.0,520500.0,623600.0,599891.6666666666,588666.6666666666,575000.0,1105000.0,1057500.0,1125214.2857142857,1460625.0,500700.0,737812.5,932000.0,555000.0
01-12-2020,757375.0,1012978.6,803875.0,839625.0,673333.3333333334,673256.6666666666,1722500.0,727539.375,581500.0,1226872.6,904375.0,577000.0,755000.0,704062.5,313000.0,704933.3333333334,811735.2941176471,1100000.0,2295731.6666666665,345000.0,590750.0,606022.2222222222,340225.0,911460.1428571428,1985649.4,566062.5,553750.0,473500.0,612162.5,633800.0,615800.0,615975.0,592833.3333333334,597000.0,904200.0,1008333.3333333334,1117500.0,1530375.0,534115.0,746620.3125,932166.6666666666,555000.0
01-01-2021,750250.0,970500.0,801875.0,913749.875,671666.6666666666,742041.6666666666,1471208.3333333333,717687.5,610666.6666666666,1212550.2,755000.0,523500.0,728453.0,671875.0,461166.6666666667,714333.3333333334,825970.5882352941,1136250.0,2550000.0,358000.0,603083.3333333334,587222.2222222222,332500.0,871785.7142857143,1976182.45,472625.0,543333.3333333334,483333.3333333333,613250.0,588900.0,610500.0,627666.6666666666,567188.8888888889,584333.3333333334,927450.0,998333.3333333334,1079285.7142857143,1368750.0,514390.0,690687.5,908166.6666666666,550000.0
01-02-2021,741312.5,967100.0,785750.0,913625.125,682250.0,739416.6666666666,1304375.0,682362.5,564500.0,1205779.5,714750.0,741750.0,725000.0,692187.5,525833.3333333334,712666.6666666666,781470.5882352941,1159750.0,2455333.3333333335,288333.3333333333,685333.3333333334,580305.5555555555,332500.0,824724.6428571428,1844963.5555555555,430819.125,561125.0,484833.3333333333,627437.5,608000.0,615250.0,629583.3333333334,577660.5555555555,574999.8333333334,805750.0,1003995.6666666666,1080571.4285714286,1320000.0,521380.0,670750.0,919500.0,539500.0
